"gene_id"	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000187653"	"TMSB4XP8"	950.987181434791	-5.36711732246054	0.213085707776916	-25.1875988232842	5.47741114583575e-140	8.97966783248313e-136
"ENSG00000100292"	"HMOX1"	9410.0594757528	4.09797804429981	0.170948381410919	23.9720201529679	5.44675689929973e-127	4.46470663035599e-123
"ENSG00000232679"	"LINC01705"	1011.98281974339	7.72732406685688	0.396050491146729	19.5109569097695	8.86078817917925e-85	4.84212538031549e-81
"ENSG00000173530"	"TNFRSF10D"	4031.15483308724	2.50154076983563	0.137517655802306	18.1906879901431	6.11675290905646e-74	2.50695117977679e-70
"ENSG00000166949"	"SMAD3"	2751.63329374568	-2.48172098832946	0.139088209552419	-17.8427847789223	3.28888942343562e-71	1.07836106415607e-67
"ENSG00000155511"	"GRIA1"	616.172981601399	-5.2266320843316	0.297733180874095	-17.5547517713245	5.47056259010606e-69	1.49474005170331e-65
"ENSG00000092068"	"SLC7A8"	2453.97147139586	4.20215919989445	0.24170412072491	17.3855505123019	1.06163017574057e-67	2.48633787158442e-64
"ENSG00000163041"	"H3-3A"	1130.35792558454	2.84650077392172	0.165617520359632	17.1871959424381	3.3116642485588e-66	6.78642796135912e-63
"ENSG00000164308"	"ERAP2"	380.758254817615	-3.76846022671951	0.239284274707564	-15.7488837547936	6.9904340023152e-56	1.27334638926617e-52
"ENSG00000189057"	"FAM111B"	614.422694389221	-3.32649067744972	0.215375289533841	-15.4450897530984	8.14142202796474e-54	1.33470472726454e-50
"ENSG00000108691"	"CCL2"	888.417198902493	-3.23962982921205	0.212447082546549	-15.249114228256	1.66881627063284e-52	2.48714308552316e-49
"ENSG00000198768"	"APCDD1L"	1724.09227412649	3.57030751308963	0.236811998079977	15.0765482409546	2.31035793054961e-51	3.15633399278586e-48
